owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,repo_age_days,days_since_last_update,has_readme,has_docker,has_cicd,has_tests
dy,jz,dy/jz,https://github.com/dy/jz,JavaScript,157,8,0,29331,1,1,617,0,1,0,1,1
medic,cht-core,medic/cht-core,https://github.com/medic/cht-core,JavaScript,552,408,691,200107,0,0,5376,0,1,0,1,1
NikolaiT,free-proxy-list,NikolaiT/free-proxy-list,https://github.com/NikolaiT/free-proxy-list,JavaScript,22,0,0,86037,1,0,446,0,1,0,0,0
mongodb,openapi,mongodb/openapi,https://github.com/mongodb/openapi,JavaScript,17,18,6,7791545,0,0,883,0,1,0,1,0
TryGhost,Ghost,TryGhost/Ghost,https://github.com/TryGhost/Ghost,JavaScript,54509,11826,114,544600,0,1,4828,0,1,0,1,0
CennoxX,spotify-ai-blocker,CennoxX/spotify-ai-blocker,https://github.com/CennoxX/spotify-ai-blocker,JavaScript,123,12,39,4446,0,0,373,0,1,0,1,0
Purfview,IMDb-Scout-Mod,Purfview/IMDb-Scout-Mod,https://github.com/Purfview/IMDb-Scout-Mod,JavaScript,566,77,1,47902,1,0,2183,0,1,0,0,0
cap-js,mcp,cap-js/mcp,https://github.com/cap-js/mcp,JavaScript,16,3,3,969,1,0,36,0,1,0,1,1
stalckerChain,MultiManager,stalckerChain/MultiManager,https://github.com/stalckerChain/MultiManager,JavaScript,40,3,0,2107,1,0,29,0,1,0,0,1
ediaz23,crunchyroll-webos-stream,ediaz23/crunchyroll-webos-stream,https://github.com/ediaz23/crunchyroll-webos-stream,JavaScript,21,2,4,118488,1,0,1178,0,1,0,0,0
divisi0n,status_naturalisation,divisi0n/status_naturalisation,https://github.com/divisi0n/status_naturalisation,JavaScript,53,16,0,741,1,0,576,0,1,0,0,0
wuyilingwei,LRC,wuyilingwei/LRC,https://github.com/wuyilingwei/LRC,JavaScript,12,0,1,594844,0,0,306,0,1,0,1,0
samsarone,samsar,samsarone/samsar,https://github.com/samsarone/samsar,JavaScript,55,7,0,6986,1,0,775,0,1,1,1,0
rhein1,agoragentic-integrations,rhein1/agoragentic-integrations,https://github.com/rhein1/agoragentic-integrations,JavaScript,24,5,0,5763,1,0,145,0,1,1,1,1
unknowntokyo,surge-list,unknowntokyo/surge-list,https://github.com/unknowntokyo/surge-list,JavaScript,17,1,0,4897,1,0,2293,0,0,0,0,0
geosolutions-it,MapStore2,geosolutions-it/MapStore2,https://github.com/geosolutions-it/MapStore2,JavaScript,653,453,716,664973,1,1,4021,0,1,1,1,1
sparshrestha,tech-in-nepal,sparshrestha/tech-in-nepal,https://github.com/sparshrestha/tech-in-nepal,JavaScript,13,3,1,133,1,1,2197,0,1,0,1,1
JakimLi,cloe-desktop,JakimLi/cloe-desktop,https://github.com/JakimLi/cloe-desktop,JavaScript,16,5,8,286958,1,0,87,0,1,0,0,1
ngt-baor,Messenger-reup,ngt-baor/Messenger-reup,https://github.com/ngt-baor/Messenger-reup,JavaScript,17,0,0,615,1,0,40,0,1,0,0,0
OpenNebula,one,OpenNebula/one,https://github.com/OpenNebula/one,JavaScript,1718,526,751,138233,1,0,5613,0,1,0,1,0
GoogleChromeLabs,chrome-for-testing,GoogleChromeLabs/chrome-for-testing,https://github.com/GoogleChromeLabs/chrome-for-testing,JavaScript,1248,157,36,31273,0,1,1184,0,1,0,1,0
moatazhamada,ai-omni-skills,moatazhamada/ai-omni-skills,https://github.com/moatazhamada/ai-omni-skills,JavaScript,12,0,0,4812,1,0,31,0,1,0,1,1
AdguardTeam,HostlistsRegistry,AdguardTeam/HostlistsRegistry,https://github.com/AdguardTeam/HostlistsRegistry,JavaScript,382,114,38,1080835,0,1,1675,0,1,0,1,0
eddmpython,codaro,eddmpython/codaro,https://github.com/eddmpython/codaro,JavaScript,13,3,0,81410,1,1,132,0,1,0,1,1
SEKOIA-IO,documentation,SEKOIA-IO/documentation,https://github.com/SEKOIA-IO/documentation,JavaScript,56,94,107,810661,0,0,2152,0,1,0,1,0
WebKit,WebKit,WebKit/WebKit,https://github.com/WebKit/WebKit,JavaScript,10019,2070,2412,12776687,1,0,2049,0,1,0,0,0
Bithomp,frontend-react,Bithomp/frontend-react,https://github.com/Bithomp/frontend-react,JavaScript,15,21,57,295568,1,0,1577,0,1,0,0,0
nirholas,three.ws,nirholas/three.ws,https://github.com/nirholas/three.ws,JavaScript,86,24,0,1253339,1,0,195,0,1,1,1,1
smartnews-smri,house-of-representatives,smartnews-smri/house-of-representatives,https://github.com/smartnews-smri/house-of-representatives,JavaScript,181,5,0,439347,0,1,1557,0,1,0,1,0
michaelshimeles,adam,michaelshimeles/adam,https://github.com/michaelshimeles/adam,JavaScript,51,4,0,4017,1,0,15,0,1,0,0,0
AgIzT,NovelAI-Tag,AgIzT/NovelAI-Tag,https://github.com/AgIzT/NovelAI-Tag,JavaScript,26,5,1,35063,1,0,46,0,1,0,0,0
IBM,openapi-validator,IBM/openapi-validator,https://github.com/IBM/openapi-validator,JavaScript,630,97,32,10211,1,1,2837,0,1,1,1,0
DefiLlama,DefiLlama-Adapters,DefiLlama/DefiLlama-Adapters,https://github.com/DefiLlama/DefiLlama-Adapters,JavaScript,1229,7486,102,76554,1,0,2077,0,1,0,1,0
pilotmoon,popclipweb,pilotmoon/popclipweb,https://github.com/pilotmoon/popclipweb,JavaScript,23,28,0,29987,0,0,1100,0,1,0,1,0
LukasParke,plex-api-spec,LukasParke/plex-api-spec,https://github.com/LukasParke/plex-api-spec,JavaScript,82,26,11,7851,0,0,1217,0,1,1,1,0
contentful,contentful-cli,contentful/contentful-cli,https://github.com/contentful/contentful-cli,JavaScript,360,73,61,175005,0,0,3248,0,1,0,1,1
JiHong88,suneditor,JiHong88/suneditor,https://github.com/JiHong88/suneditor,JavaScript,1996,346,3,79187,1,0,3388,0,1,0,1,1
githubnext,gh-aw-workshop,githubnext/gh-aw-workshop,https://github.com/githubnext/gh-aw-workshop,JavaScript,23,9,4,6746,1,1,14,0,1,0,1,0
DIYbiosphere,sphere,DIYbiosphere/sphere,https://github.com/DIYbiosphere/sphere,JavaScript,112,62,11,126242,1,0,3760,0,1,0,1,0
Baskerville42,outage-data-ua,Baskerville42/outage-data-ua,https://github.com/Baskerville42/outage-data-ua,JavaScript,55,7,0,12648155,1,0,259,0,1,0,1,0
epam,mriviewer,epam/mriviewer,https://github.com/epam/mriviewer,JavaScript,364,105,20,143902,1,0,3146,0,1,0,1,0
ccnmtl,mediathread,ccnmtl/mediathread,https://github.com/ccnmtl/mediathread,JavaScript,88,36,22,363242,1,1,6041,0,1,1,1,1
FHIR,ig-registry,FHIR/ig-registry,https://github.com/FHIR/ig-registry,JavaScript,39,150,4,2931,1,1,3032,0,1,0,1,0
callie0313,dylan-heartbeat,callie0313/dylan-heartbeat,https://github.com/callie0313/dylan-heartbeat,JavaScript,212,349,2,155,0,0,68,0,1,0,0,1
hc990275,yx,hc990275/yx,https://github.com/hc990275/yx,JavaScript,12,10,0,33888,1,0,534,0,1,0,1,0
newrelic,node-newrelic,newrelic/node-newrelic,https://github.com/newrelic/node-newrelic,JavaScript,1002,420,56,35065,0,1,4948,0,1,1,1,1
cms-sw,cms-sw.github.io,cms-sw/cms-sw.github.io,https://github.com/cms-sw/cms-sw.github.io,JavaScript,25,60,4,620438,1,1,4432,0,1,0,1,0
qimaoww,luci-app-lanspeed,qimaoww/luci-app-lanspeed,https://github.com/qimaoww/luci-app-lanspeed,JavaScript,13,5,2,25724,1,0,74,0,1,0,1,1
z3r0l1nk,pager_page,z3r0l1nk/pager_page,https://github.com/z3r0l1nk/pager_page,JavaScript,12,0,1,28956,1,1,154,0,1,0,1,0
webtorrent,magnet-uri,webtorrent/magnet-uri,https://github.com/webtorrent/magnet-uri,JavaScript,236,49,6,184,0,0,4651,0,1,0,1,1
jaeseok614,llm-gpu-checker-ko,jaeseok614/llm-gpu-checker-ko,https://github.com/jaeseok614/llm-gpu-checker-ko,JavaScript,11,0,1,942,0,1,3,0,1,0,1,0
webtorrent,bittorrent-protocol,webtorrent/bittorrent-protocol,https://github.com/webtorrent/bittorrent-protocol,JavaScript,357,74,9,394,0,0,4638,0,1,0,1,1
narmi,design_system,narmi/design_system,https://github.com/narmi/design_system,JavaScript,38,6,14,154139,1,1,1884,0,1,0,1,1
ctsfork,web,ctsfork/web,https://github.com/ctsfork/web,JavaScript,22,5,0,33252,1,1,994,0,0,0,0,0
chrisk123999,chris-premades,chrisk123999/chris-premades,https://github.com/chrisk123999/chris-premades,JavaScript,59,76,5,72791,1,0,1250,0,1,0,1,0
opencollective,documentation,opencollective/documentation,https://github.com/opencollective/documentation,JavaScript,15,32,2,13811,0,0,302,0,1,0,0,0
ifflagged,Seyoulala,ifflagged/Seyoulala,https://github.com/ifflagged/Seyoulala,JavaScript,13,3,0,83867,1,0,628,0,0,0,1,0
z0r0z,tacit,z0r0z/tacit,https://github.com/z0r0z/tacit,JavaScript,38,11,10,42981,1,0,78,0,1,0,1,1
react,react,react/react,https://github.com/react/react,JavaScript,246678,51296,1218,1032437,0,1,4807,0,1,0,1,0
bbc,world-service-rss,bbc/world-service-rss,https://github.com/bbc/world-service-rss,JavaScript,18,4,1,137365,1,1,537,0,1,0,1,0
kaanozhan,Frame,kaanozhan/Frame,https://github.com/kaanozhan/Frame,JavaScript,318,33,9,4258,0,1,183,0,1,0,1,1
ITSalt,NaCl,ITSalt/NaCl,https://github.com/ITSalt/NaCl,JavaScript,23,2,1,22947,1,0,104,0,1,0,1,1
Guseyn,e-ui,Guseyn/e-ui,https://github.com/Guseyn/e-ui,JavaScript,14,0,3,3826,1,0,211,0,1,0,1,0
nuxeo,nuxeo-elements,nuxeo/nuxeo-elements,https://github.com/nuxeo/nuxeo-elements,JavaScript,29,15,48,67367,0,1,4167,0,1,0,1,1
microsoft,agent-academy,microsoft/agent-academy,https://github.com/microsoft/agent-academy,JavaScript,3060,185,8,4291063,1,1,498,0,1,0,1,0
nazarli-shabnam,clevis,nazarli-shabnam/clevis,https://github.com/nazarli-shabnam/clevis,JavaScript,101,7,16,1851,1,0,121,0,1,1,1,1
zhulin025,Codex-QQ-Skin,zhulin025/Codex-QQ-Skin,https://github.com/zhulin025/Codex-QQ-Skin,JavaScript,113,6,1,15048,1,0,5,0,1,0,1,1
mozilla-firefox,firefox,mozilla-firefox/firefox,https://github.com/mozilla-firefox/firefox,JavaScript,12630,1346,1,5177684,0,0,723,0,1,0,1,0
UI5,openui5,UI5/openui5,https://github.com/UI5/openui5,JavaScript,3302,1274,120,1156677,0,1,4607,0,1,0,0,0
DeerCarbonate,Azimuth,DeerCarbonate/Azimuth,https://github.com/DeerCarbonate/Azimuth,JavaScript,48,6,3,41658,1,0,523,0,1,0,0,0
atkaridarshan04,cloudnative-devops-blueprint,atkaridarshan04/cloudnative-devops-blueprint,https://github.com/atkaridarshan04/cloudnative-devops-blueprint,JavaScript,26,17,2,29074,1,0,660,0,1,1,1,0
tharun9772,Bloxcraft-UBG,tharun9772/Bloxcraft-UBG,https://github.com/tharun9772/Bloxcraft-UBG,JavaScript,13,30,0,32597,0,1,353,0,1,0,1,0
webtorrent,create-torrent,webtorrent/create-torrent,https://github.com/webtorrent/create-torrent,JavaScript,356,101,10,1050,0,0,4446,0,1,0,1,1
RedHatInsights,vulnerability-ui,RedHatInsights/vulnerability-ui,https://github.com/RedHatInsights/vulnerability-ui,JavaScript,14,68,20,101643,0,0,2946,0,1,0,1,1
Moli-X,Tool,Moli-X/Tool,https://github.com/Moli-X/Tool,JavaScript,102,6,1,1566189,1,0,663,0,1,0,1,0
rullerzhou-afk,clawd-on-desk,rullerzhou-afk/clawd-on-desk,https://github.com/rullerzhou-afk/clawd-on-desk,JavaScript,5578,567,116,39976,1,0,127,0,1,0,1,1
FlowFuse,flowfuse,FlowFuse/flowfuse,https://github.com/FlowFuse/flowfuse,JavaScript,393,87,999,174488,0,0,1849,0,1,0,1,1
casosorg,casos,casosorg/casos,https://github.com/casosorg/casos,JavaScript,1213,87,5,1338,1,0,3305,0,1,0,1,0
cobusgreyling,loop-engineering,cobusgreyling/loop-engineering,https://github.com/cobusgreyling/loop-engineering,JavaScript,9233,1258,10,3016,1,1,44,0,1,0,1,0
swyxio,gh-action-data-scraping,swyxio/gh-action-data-scraping,https://github.com/swyxio/gh-action-data-scraping,JavaScript,244,39,4,23572,1,0,2374,0,1,0,1,0
DuckBurnIncense,xin-wen-lian-bo,DuckBurnIncense/xin-wen-lian-bo,https://github.com/DuckBurnIncense/xin-wen-lian-bo,JavaScript,186,49,2,121923,1,0,1397,0,1,0,1,0
openwisp,openwisp-wifi-login-pages,openwisp/openwisp-wifi-login-pages,https://github.com/openwisp/openwisp-wifi-login-pages,JavaScript,193,148,39,7200,0,0,2628,0,1,0,1,0
fangvv,Homepage,fangvv/Homepage,https://github.com/fangvv/Homepage,JavaScript,25,2,0,400641,0,1,3437,0,1,0,1,0
manufosela,karajan-code,manufosela/karajan-code,https://github.com/manufosela/karajan-code,JavaScript,31,4,7,32184,1,0,162,0,1,1,1,1
cwash797-cmd,Panel-Naive-Mieru-by-RIXXX,cwash797-cmd/Panel-Naive-Mieru-by-RIXXX,https://github.com/cwash797-cmd/Panel-Naive-Mieru-by-RIXXX,JavaScript,85,10,1,1268,1,0,77,0,1,0,0,1
nextcloud,contacts,nextcloud/contacts,https://github.com/nextcloud/contacts,JavaScript,634,218,437,102985,0,0,3563,0,1,0,1,1
openwisp,netjsongraph.js,openwisp/netjsongraph.js,https://github.com/openwisp/netjsongraph.js,JavaScript,313,119,9,147425,1,1,3996,0,1,0,1,1
Lidemy,error-baker-blog,Lidemy/error-baker-blog,https://github.com/Lidemy/error-baker-blog,JavaScript,12,5,13,70909,1,0,1843,0,1,0,1,1
vtexdocs,dev-portal-content,vtexdocs/dev-portal-content,https://github.com/vtexdocs/dev-portal-content,JavaScript,24,103,57,404099,0,0,1540,0,1,0,1,0
santifer,career-ops,santifer/career-ops,https://github.com/santifer/career-ops,JavaScript,61200,12050,247,39810,1,0,109,0,1,1,1,1
frxz751113,IPTVzb1,frxz751113/IPTVzb1,https://github.com/frxz751113/IPTVzb1,JavaScript,51,25,0,373300,1,0,713,0,1,0,1,0
AsiaOstrich,universal-dev-standards,AsiaOstrich/universal-dev-standards,https://github.com/AsiaOstrich/universal-dev-standards,JavaScript,70,10,4,26291,0,0,211,0,1,0,1,1
Moli-X,Resources,Moli-X/Resources,https://github.com/Moli-X/Resources,JavaScript,3363,133,13,365839,1,0,1352,0,1,0,1,0
PictureElement,nextjs-strapi-portfolio-starter,PictureElement/nextjs-strapi-portfolio-starter,https://github.com/PictureElement/nextjs-strapi-portfolio-starter,JavaScript,28,10,1,157875,0,0,604,0,1,0,0,0
iprtl,m3u,iprtl/m3u,https://github.com/iprtl/m3u,JavaScript,43,2,12,109449,1,0,3974,0,1,0,1,0
icekale,rednote-downloader,icekale/rednote-downloader,https://github.com/icekale/rednote-downloader,JavaScript,69,9,0,306,1,0,127,0,1,1,1,1
Le0Developer,captcha-mining,Le0Developer/captcha-mining,https://github.com/Le0Developer/captcha-mining,JavaScript,11,2,0,419464,0,0,505,0,0,0,1,0
Lanlan13-14,zephyr-ssh,Lanlan13-14/zephyr-ssh,https://github.com/Lanlan13-14/zephyr-ssh,JavaScript,30,5,0,25952,1,0,88,0,1,1,1,1
lightning-js,blits,lightning-js/blits,https://github.com/lightning-js/blits,JavaScript,112,41,28,5136,0,1,1038,0,1,0,1,0
zumerlab,snapdom,zumerlab/snapdom,https://github.com/zumerlab/snapdom,JavaScript,7960,295,5,17764,0,1,452,0,1,0,1,1
canonical,anbox-streaming-sdk,canonical/anbox-streaming-sdk,https://github.com/canonical/anbox-streaming-sdk,JavaScript,13,13,4,252052,0,0,2069,0,1,0,1,0
MrChartist,fii-dii-data,MrChartist/fii-dii-data,https://github.com/MrChartist/fii-dii-data,JavaScript,34,17,1,7362,1,0,130,0,1,0,1,0
mrhenry,web-tests,mrhenry/web-tests,https://github.com/mrhenry/web-tests,JavaScript,15,3,0,820172,1,1,1996,0,1,0,1,1
bbsvip,tiktok_trending_analysis,bbsvip/tiktok_trending_analysis,https://github.com/bbsvip/tiktok_trending_analysis,JavaScript,11,1,3,1495574,1,0,1029,0,1,0,1,0
bardiakhosravi,tenets,bardiakhosravi/tenets,https://github.com/bardiakhosravi/tenets,JavaScript,43,3,1,148,1,0,375,0,1,0,1,0
wmwlwmwl,Lumin-SSH,wmwlwmwl/Lumin-SSH,https://github.com/wmwlwmwl/Lumin-SSH,JavaScript,37,14,0,31787,1,0,36,0,1,0,1,0
LimeSurvey,LimeSurvey,LimeSurvey/LimeSurvey,https://github.com/LimeSurvey/LimeSurvey,JavaScript,3676,1110,102,1456663,0,0,5288,0,1,0,1,1
nodejs,node,nodejs/node,https://github.com/nodejs/node,JavaScript,118324,36231,2360,1524089,0,0,4256,0,1,0,1,1
ZiPenOk,scripts,ZiPenOk/scripts,https://github.com/ZiPenOk/scripts,JavaScript,21,2,0,2565,0,0,160,0,1,0,0,0
Hypfer,Valetudo,Hypfer/Valetudo,https://github.com/Hypfer/Valetudo,JavaScript,9422,502,0,254665,0,1,2933,0,1,0,1,0
hotosm,chatmap,hotosm/chatmap,https://github.com/hotosm/chatmap,JavaScript,47,9,24,6413,1,0,616,0,1,0,1,0
microlinkhq,www,microlinkhq/www,https://github.com/microlinkhq/www,JavaScript,142,31,11,79461,1,0,3296,0,1,0,1,1
N1CNmod,narrowone-mod,N1CNmod/narrowone-mod,https://github.com/N1CNmod/narrowone-mod,JavaScript,13,3,0,480,1,0,579,0,1,0,0,0
a-bai-2026,codex-work-receipt,a-bai-2026/codex-work-receipt,https://github.com/a-bai-2026/codex-work-receipt,JavaScript,14,0,0,5305,0,0,5,0,1,0,1,1
datacontract,datacontract-cli,datacontract/datacontract-cli,https://github.com/datacontract/datacontract-cli,JavaScript,958,252,44,11453,0,1,1095,0,1,1,1,1
BND-1,horseMD,BND-1/horseMD,https://github.com/BND-1/horseMD,JavaScript,284,23,12,19917,0,0,49,0,1,0,1,0
theforeman,npm2rpm,theforeman/npm2rpm,https://github.com/theforeman/npm2rpm,JavaScript,14,16,11,157,0,0,3660,0,1,0,1,1
temporalio,documentation,temporalio/documentation,https://github.com/temporalio/documentation,JavaScript,166,323,38,783533,1,0,2287,0,1,0,1,1
wahaha303,ICCPlus,wahaha303/ICCPlus,https://github.com/wahaha303/ICCPlus,JavaScript,18,8,4,60281,0,0,760,0,1,0,0,0
