owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,repo_age_days,days_since_last_update,has_readme,has_docker,has_cicd,has_tests
vercel,next.js,vercel/next.js,https://github.com/vercel/next.js,JavaScript,141087,31492,4248,2513487,0,0,3577,0,1,0,1,1
ayo-run,wcb,ayo-run/wcb,https://github.com/ayo-run/wcb,JavaScript,81,2,2,2885,0,0,1032,0,1,0,1,1
Planning-Inspectorate,appeal-planning-decision,Planning-Inspectorate/appeal-planning-decision,https://github.com/Planning-Inspectorate/appeal-planning-decision,JavaScript,12,6,15,117469,1,1,2110,0,1,1,1,1
goatandsheep,react-native-dotenv,goatandsheep/react-native-dotenv,https://github.com/goatandsheep/react-native-dotenv,JavaScript,857,52,15,1501,1,0,2206,0,1,0,1,1
YingyiDai,bambu-buddy,YingyiDai/bambu-buddy,https://github.com/YingyiDai/bambu-buddy,JavaScript,18,3,2,43096,1,0,30,0,1,0,1,1
mwakidenis,JAMII-LOAN,mwakidenis/JAMII-LOAN,https://github.com/mwakidenis/JAMII-LOAN,JavaScript,29,3,1,1574,0,0,195,0,1,0,1,0
PrashantDhuri08,lanview-cli,PrashantDhuri08/lanview-cli,https://github.com/PrashantDhuri08/lanview-cli,JavaScript,20,1,0,31,1,0,13,0,1,0,0,0
prgmitchell,MIDIMaster,prgmitchell/MIDIMaster,https://github.com/prgmitchell/MIDIMaster,JavaScript,20,2,1,8037,0,0,162,0,1,0,1,0
rsksmart,rsk-explorer-api,rsksmart/rsk-explorer-api,https://github.com/rsksmart/rsk-explorer-api,JavaScript,14,21,25,61191,1,0,3002,0,1,1,1,1
emuflight,EmuConfigurator,emuflight/EmuConfigurator,https://github.com/emuflight/EmuConfigurator,JavaScript,152,25,27,64880,1,0,2515,0,1,0,1,1
dusan-maintains,oss-maintenance-log,dusan-maintains/oss-maintenance-log,https://github.com/dusan-maintains/oss-maintenance-log,JavaScript,12,1,5,4316,1,1,146,0,1,0,1,1
ragestudio,comty,ragestudio/comty,https://github.com/ragestudio/comty,JavaScript,35,12,35,34678,1,0,2270,0,1,0,1,0
SAP-cloud-infrastructure,elektra,SAP-cloud-infrastructure/elektra,https://github.com/SAP-cloud-infrastructure/elektra,JavaScript,81,31,73,83685,1,0,3872,0,1,0,1,1
gandazgul,runwield,gandazgul/runwield,https://github.com/gandazgul/runwield,JavaScript,11,1,0,16283,0,0,88,0,1,0,1,0
Imbad0202,critical-thinking-for-humans,Imbad0202/critical-thinking-for-humans,https://github.com/Imbad0202/critical-thinking-for-humans,JavaScript,22,1,9,13898,0,0,40,0,1,0,1,0
weponusa,teachany-courseware,weponusa/teachany-courseware,https://github.com/weponusa/teachany-courseware,JavaScript,12,4,56,3728316,1,1,75,0,1,0,1,0
ctron,openshift-update-graph,ctron/openshift-update-graph,https://github.com/ctron/openshift-update-graph,JavaScript,25,17,0,421857,0,1,2199,0,1,0,1,0
WordPress,gutenberg,WordPress/gutenberg,https://github.com/WordPress/gutenberg,JavaScript,11737,4857,8163,1092717,0,1,3456,0,1,0,1,1
peerigon,angular-expressions,peerigon/angular-expressions,https://github.com/peerigon/angular-expressions,JavaScript,100,24,3,1285,1,0,4516,0,1,0,1,1
mishanaer,deslop,mishanaer/deslop,https://github.com/mishanaer/deslop,JavaScript,12,1,0,4187,0,0,9,0,1,0,0,0
duolicious,duolicious,duolicious/duolicious,https://github.com/duolicious/duolicious,JavaScript,173,55,205,450314,0,0,1154,0,1,1,1,0
mikemccand,luceneutil,mikemccand/luceneutil,https://github.com/mikemccand/luceneutil,JavaScript,226,150,214,134271,1,1,4028,0,1,0,1,0
makeplane,developer-docs,makeplane/developer-docs,https://github.com/makeplane/developer-docs,JavaScript,16,16,14,172253,1,0,666,0,1,0,1,0
B4BREAON,OTP-Bot-One-Time-Password-Verification-Bank-Paypal-Bypass-2FA,B4BREAON/OTP-Bot-One-Time-Password-Verification-Bank-Paypal-Bypass-2FA,https://github.com/B4BREAON/OTP-Bot-One-Time-Password-Verification-Bank-Paypal-Bypass-2FA,JavaScript,13,2,0,991,0,0,105,0,1,0,1,0
Phineas1500,Onhand,Phineas1500/Onhand,https://github.com/Phineas1500/Onhand,JavaScript,24,1,0,37478,1,0,116,0,1,0,1,0
flox,install-flox-action,flox/install-flox-action,https://github.com/flox/install-flox-action,JavaScript,13,5,8,2397,0,0,1415,0,1,0,1,0
Sudo-Ali-Dev,Rankistan,Sudo-Ali-Dev/Rankistan,https://github.com/Sudo-Ali-Dev/Rankistan,JavaScript,141,12,17,141218,1,1,125,0,1,0,1,0
MochengCK,LinkCore-Download-Manager,MochengCK/LinkCore-Download-Manager,https://github.com/MochengCK/LinkCore-Download-Manager,JavaScript,25,4,2,224588,0,0,226,0,1,0,1,0
jzellis,kowloon,jzellis/kowloon,https://github.com/jzellis/kowloon,JavaScript,33,6,11,73843,1,1,1134,0,1,1,1,1
chao921125,document,chao921125/document,https://github.com/chao921125/document,JavaScript,11,1,0,44173,1,0,984,0,1,0,0,0
adminouyang,231006,adminouyang/231006,https://github.com/adminouyang/231006,JavaScript,240,70,2,386259,1,0,1021,0,1,0,1,0
primer,react-template,primer/react-template,https://github.com/primer/react-template,JavaScript,49,23,4,4671,0,1,1771,0,1,0,1,0
huilang-me,CF-Server-Monitor,huilang-me/CF-Server-Monitor,https://github.com/huilang-me/CF-Server-Monitor,JavaScript,910,680,1,3391,1,1,58,0,1,0,1,1
openclaw,clownfish,openclaw/clownfish,https://github.com/openclaw/clownfish,JavaScript,58,17,2,81967,0,0,89,0,1,0,1,1
discourse,DiscourseMobile,discourse/DiscourseMobile,https://github.com/discourse/DiscourseMobile,JavaScript,291,66,20,250961,0,0,3634,0,1,0,1,1
voc0der,ytdl-material,voc0der/ytdl-material,https://github.com/voc0der/ytdl-material,JavaScript,34,6,4,202626,1,0,138,0,1,1,1,0
scripting,rss.chat,scripting/rss.chat,https://github.com/scripting/rss.chat,JavaScript,25,6,10,1116,1,0,11,0,1,0,0,0
neomjs,neo,neomjs/neo,https://github.com/neomjs/neo,JavaScript,3243,223,233,4845448,1,0,2446,0,1,0,1,1
osmandapp,OsmAnd-resources,osmandapp/OsmAnd-resources,https://github.com/osmandapp/OsmAnd-resources,JavaScript,163,388,31,736527,1,0,4784,0,1,0,1,0
Kaggle,kaggle-environments,Kaggle/kaggle-environments,https://github.com/Kaggle/kaggle-environments,JavaScript,433,185,77,512440,0,0,2409,0,1,0,1,1
openforis,collect-earth-online,openforis/collect-earth-online,https://github.com/openforis/collect-earth-online,JavaScript,58,20,4,203363,1,0,3529,0,1,0,1,1
svierk,salesforce-devops-starter-kit,svierk/salesforce-devops-starter-kit,https://github.com/svierk/salesforce-devops-starter-kit,JavaScript,30,5,0,1968,1,1,17,0,1,0,1,0
Krutsch,html-bundle,Krutsch/html-bundle,https://github.com/Krutsch/html-bundle,JavaScript,13,2,0,15436,1,0,2031,0,1,0,0,1
cdmtn,CodeMotion,cdmtn/CodeMotion,https://github.com/cdmtn/CodeMotion,JavaScript,65,9,12,46570,1,0,71,0,1,0,1,1
GSA,touchpoints,GSA/touchpoints,https://github.com/GSA/touchpoints,JavaScript,65,37,52,21070,1,0,2862,0,1,1,1,1
angular,dev-infra,angular/dev-infra,https://github.com/angular/dev-infra,JavaScript,76,79,47,538700,0,0,2584,0,1,0,1,0
open-gsd,gsd-core,open-gsd/gsd-core,https://github.com/open-gsd/gsd-core,JavaScript,7088,482,85,42211,1,0,62,0,1,0,1,1
the-codegen-project,cli,the-codegen-project/cli,https://github.com/the-codegen-project/cli,JavaScript,35,3,10,104968,0,0,828,0,1,0,1,1
CodeCabin,wp-google-maps,CodeCabin/wp-google-maps,https://github.com/CodeCabin/wp-google-maps,JavaScript,18,12,0,35944,1,0,3846,0,1,0,0,0
dokieli,dokieli,dokieli/dokieli,https://github.com/dokieli/dokieli,JavaScript,889,102,224,34624,1,0,4834,0,1,0,1,1
Jagusti,fvtt-wfrp4e-gmtoolkit,Jagusti/fvtt-wfrp4e-gmtoolkit,https://github.com/Jagusti/fvtt-wfrp4e-gmtoolkit,JavaScript,16,15,8,1146,1,0,2280,0,1,0,1,0
erosTeam,NextE,erosTeam/NextE,https://github.com/erosTeam/NextE,JavaScript,26,0,0,37216,1,0,37,0,1,0,1,0
jundy779,Auto_Order_BOT,jundy779/Auto_Order_BOT,https://github.com/jundy779/Auto_Order_BOT,JavaScript,37,2,0,2132,1,0,240,0,1,0,1,1
operaton,web-apps,operaton/web-apps,https://github.com/operaton/web-apps,JavaScript,23,14,23,4497,0,0,589,0,1,1,0,1
Smith-106,LD-Notion,Smith-106/LD-Notion,https://github.com/Smith-106/LD-Notion,JavaScript,15,3,0,5237,1,1,165,0,1,0,1,1
l2fprod,mycatalog,l2fprod/mycatalog,https://github.com/l2fprod/mycatalog,JavaScript,14,5,3,863909,1,1,3671,0,1,0,1,0
nicechunk,game,nicechunk/game,https://github.com/nicechunk/game,JavaScript,214,1,0,1680,0,0,3,0,1,0,0,0
suryaelidanto,umkmcepat,suryaelidanto/umkmcepat,https://github.com/suryaelidanto/umkmcepat,JavaScript,24,5,1,5455,0,0,457,0,1,1,1,1
Fei-Away,Codex-Dream-Skin,Fei-Away/Codex-Dream-Skin,https://github.com/Fei-Away/Codex-Dream-Skin,JavaScript,12026,1205,41,22021,1,0,8,0,1,0,1,0
celbridge-org,celbridge,celbridge-org/celbridge,https://github.com/celbridge-org/celbridge,JavaScript,14,3,50,55151,0,0,1017,0,1,0,1,0
IrosTheBeggar,mStream,IrosTheBeggar/mStream,https://github.com/IrosTheBeggar/mStream,JavaScript,2357,203,93,698945,1,1,3882,0,1,0,1,1
trailheadapps,lwc-recipes,trailheadapps/lwc-recipes,https://github.com/trailheadapps/lwc-recipes,JavaScript,2874,3249,9,6330,0,0,2779,0,1,0,1,1
trailheadapps,lwc-recipes-oss,trailheadapps/lwc-recipes-oss,https://github.com/trailheadapps/lwc-recipes-oss,JavaScript,350,266,11,9179,0,0,2611,0,1,0,1,1
jiaoyingxing,resojot,jiaoyingxing/resojot,https://github.com/jiaoyingxing/resojot,JavaScript,33,0,0,11731,1,0,109,0,1,0,0,0
sggc,SDU-IPTV-PRO,sggc/SDU-IPTV-PRO,https://github.com/sggc/SDU-IPTV-PRO,JavaScript,62,27,1,287379,1,0,231,0,1,0,1,0
dhis2,dashboard-app,dhis2/dashboard-app,https://github.com/dhis2/dashboard-app,JavaScript,45,44,14,54514,0,0,3369,0,1,0,1,0
lieying8,sync,lieying8/sync,https://github.com/lieying8/sync,JavaScript,133,5,1,45726,1,0,1964,0,1,0,1,0
vercel-labs,agent-skills,vercel-labs/agent-skills,https://github.com/vercel-labs/agent-skills,JavaScript,29395,2640,161,11415,1,0,226,0,1,0,1,0
prismicio,prismic-toolbar,prismicio/prismic-toolbar,https://github.com/prismicio/prismic-toolbar,JavaScript,12,18,32,8981,1,0,3668,0,1,0,0,0
DataDog,documentation,DataDog/documentation,https://github.com/DataDog/documentation,JavaScript,611,1317,859,7573178,1,0,5336,0,1,0,1,1
adamlui,js-utils,adamlui/js-utils,https://github.com/adamlui/js-utils,JavaScript,20,4,4,244199,0,0,1155,0,0,0,1,0
webbrain-one,webbrain,webbrain-one/webbrain,https://github.com/webbrain-one/webbrain,JavaScript,453,56,19,601942,1,0,108,0,1,0,1,1
andreszs,ComfyUI-OpenPose-Studio,andreszs/ComfyUI-OpenPose-Studio,https://github.com/andreszs/ComfyUI-OpenPose-Studio,JavaScript,76,8,8,13789,1,0,124,0,0,0,1,1
mywwzh,oicpp,mywwzh/oicpp,https://github.com/mywwzh/oicpp,JavaScript,162,16,8,4537,1,0,347,0,1,0,1,0
longbill,node-phpfpm,longbill/node-phpfpm,https://github.com/longbill/node-phpfpm,JavaScript,52,13,2,14,1,0,3859,0,1,0,0,1
vatesfr,xen-orchestra,vatesfr/xen-orchestra,https://github.com/vatesfr/xen-orchestra,JavaScript,978,312,464,107215,1,0,4913,0,1,0,1,0
spaceraccoon,vulnerability-spoiler-alert,spaceraccoon/vulnerability-spoiler-alert,https://github.com/spaceraccoon/vulnerability-spoiler-alert,JavaScript,145,25,310,1160,0,1,163,0,1,0,1,0
HypixelDatabase,HypixelTracking,HypixelDatabase/HypixelTracking,https://github.com/HypixelDatabase/HypixelTracking,JavaScript,51,6,3,48050,1,0,2340,0,1,0,1,0
peterrichards-lr,liferay-fragments,peterrichards-lr/liferay-fragments,https://github.com/peterrichards-lr/liferay-fragments,JavaScript,14,9,4,460208,1,1,1722,0,1,0,1,0
reportportal,service-ui,reportportal/service-ui,https://github.com/reportportal/service-ui,JavaScript,68,121,41,96268,1,0,3599,0,1,1,1,0
AdguardTeam,AdGuardFiltersStats,AdguardTeam/AdGuardFiltersStats,https://github.com/AdguardTeam/AdGuardFiltersStats,JavaScript,19,6,2,1003905,0,0,1313,0,1,0,1,1
NextCommunity,NextCommunity.github.io,NextCommunity/NextCommunity.github.io,https://github.com/NextCommunity/NextCommunity.github.io,JavaScript,66,73,27,24304,1,1,1866,0,1,0,1,0
usmannasir,cyberpanel,usmannasir/cyberpanel,https://github.com/usmannasir/cyberpanel,JavaScript,1996,719,401,486644,1,0,3194,0,1,0,1,1
lyu0805,OpenBrowser,lyu0805/OpenBrowser,https://github.com/lyu0805/OpenBrowser,JavaScript,264,60,1,11722,1,0,4,0,1,0,1,0
onsails,skills,onsails/skills,https://github.com/onsails/skills,JavaScript,42,3,0,417,1,0,189,0,1,0,0,0
ONLYOFFICE,onlyoffice.github.io,ONLYOFFICE/onlyoffice.github.io,https://github.com/ONLYOFFICE/onlyoffice.github.io,JavaScript,237,484,67,1262962,0,1,2295,0,1,0,1,0
bitwarden,ai-plugins,bitwarden/ai-plugins,https://github.com/bitwarden/ai-plugins,TypeScript,129,14,18,1957,0,0,274,0,1,0,1,0
OpenRailAssociation,osrd,OpenRailAssociation/osrd,https://github.com/OpenRailAssociation/osrd,TypeScript,645,79,867,98928,1,0,2528,0,1,1,1,1
leontloveless,ai-rss-feeds,leontloveless/ai-rss-feeds,https://github.com/leontloveless/ai-rss-feeds,TypeScript,42,4,7,20438,1,0,130,0,1,0,1,0
SonarSource,SonarJS,SonarSource/SonarJS,https://github.com/SonarSource/SonarJS,TypeScript,1252,193,20,69871,0,1,5182,0,1,1,1,0
unadlib,fronts,unadlib/fronts,https://github.com/unadlib/fronts,TypeScript,487,43,121,9245,1,1,2580,0,1,0,1,1
langfuse,langfuse,langfuse/langfuse,https://github.com/langfuse/langfuse,TypeScript,31730,3363,721,102663,0,0,1161,0,1,1,1,0
VenusProtocol,venus-protocol-interface,VenusProtocol/venus-protocol-interface,https://github.com/VenusProtocol/venus-protocol-interface,TypeScript,63,88,14,78399,1,0,1890,0,1,1,1,0
firecrawl,firecrawl,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,TypeScript,154904,8820,444,96496,0,0,828,0,1,1,1,0
bruin-data,bruin-vscode,bruin-data/bruin-vscode,https://github.com/bruin-data/bruin-vscode,TypeScript,19,4,1,14161,1,0,998,0,1,0,1,0
webbertakken,takken.io,webbertakken/takken.io,https://github.com/webbertakken/takken.io,TypeScript,16,10,5,109659,0,0,1951,0,1,0,1,1
iorate,ublacklist,iorate/ublacklist,https://github.com/iorate/ublacklist,TypeScript,6596,351,2,21470,0,1,2949,0,1,0,1,0
lingdojo,kana-dojo,lingdojo/kana-dojo,https://github.com/lingdojo/kana-dojo,TypeScript,3029,2819,362,134591,1,0,423,0,1,1,1,1
coveo,plasma,coveo/plasma,https://github.com/coveo/plasma,TypeScript,72,18,16,73951,0,1,3598,0,1,0,1,0
grafana,grafana,grafana/grafana,https://github.com/grafana/grafana,TypeScript,75736,14331,3433,1854786,0,1,4606,0,1,1,1,1
livekit,client-sdk-react-native,livekit/client-sdk-react-native,https://github.com/livekit/client-sdk-react-native,TypeScript,281,68,37,9142,1,0,1600,1,1,0,1,0
eigen-is,eigen,eigen-is/eigen,https://github.com/eigen-is/eigen,TypeScript,12,1,0,56363,0,0,503,0,1,1,1,0
ReinhardtR,runeprofile,ReinhardtR/runeprofile,https://github.com/ReinhardtR/runeprofile,TypeScript,29,8,2,59068,1,0,1482,0,1,0,1,0
openwong2kim,wmux,openwong2kim/wmux,https://github.com/openwong2kim/wmux,TypeScript,269,49,10,16315,0,0,125,0,1,0,1,1
exisz,IsItStable,exisz/IsItStable,https://github.com/exisz/IsItStable,TypeScript,29,1,71,4433,1,0,86,0,1,0,1,0
stella,folio,stella/folio,https://github.com/stella/folio,TypeScript,12,6,2,9613,0,0,23,0,1,0,1,1
RatLoopz,sahidawa-india,RatLoopz/sahidawa-india,https://github.com/RatLoopz/sahidawa-india,TypeScript,73,323,25,47258,1,0,106,0,1,1,1,0
0xkillaflow,agama-redmine-mcp,0xkillaflow/agama-redmine-mcp,https://github.com/0xkillaflow/agama-redmine-mcp,TypeScript,16,0,6,579,1,0,2,0,1,1,1,1
codebuilder0101,pro-saas-generator,codebuilder0101/pro-saas-generator,https://github.com/codebuilder0101/pro-saas-generator,TypeScript,11,0,0,1383,1,0,148,0,1,0,1,0
yasserstudio,gpc,yasserstudio/gpc,https://github.com/yasserstudio/gpc,TypeScript,58,4,5,13096,0,1,138,0,1,0,1,0
Joel-Mercier,wavio,Joel-Mercier/wavio,https://github.com/Joel-Mercier/wavio,TypeScript,85,7,8,115185,1,0,498,0,1,0,1,0
use-brian,use-brian,use-brian/use-brian,https://github.com/use-brian/use-brian,TypeScript,22,0,1,12964,0,0,35,0,1,0,1,0
Moggle-Khraum,NovelDR,Moggle-Khraum/NovelDR,https://github.com/Moggle-Khraum/NovelDR,TypeScript,17,1,0,4015,0,0,121,0,1,0,1,0
andymai,brepjs,andymai/brepjs,https://github.com/andymai/brepjs,TypeScript,72,7,0,56988,0,1,171,0,1,0,1,1
Shudesu,ig-harness-oss,Shudesu/ig-harness-oss,https://github.com/Shudesu/ig-harness-oss,TypeScript,48,17,1,2283,1,1,106,0,1,0,0,0
bitwarden,clients,bitwarden/clients,https://github.com/bitwarden/clients,TypeScript,13367,1929,1166,1297691,0,0,3787,0,1,0,1,1
lorenzopalaia,HackTrack-EU,lorenzopalaia/HackTrack-EU,https://github.com/lorenzopalaia/HackTrack-EU,TypeScript,225,5,7,1706,1,0,666,0,1,0,1,0
ffflorian,node-packages,ffflorian/node-packages,https://github.com/ffflorian/node-packages,TypeScript,17,7,4,20398,0,0,1268,0,1,0,1,0
joecarl,mularr,joecarl/mularr,https://github.com/joecarl/mularr,TypeScript,122,5,9,968,1,0,174,0,1,1,1,0
software-mansion,react-native-gesture-handler,software-mansion/react-native-gesture-handler,https://github.com/software-mansion/react-native-gesture-handler,TypeScript,6766,1063,29,226380,0,1,3556,0,1,0,1,0
colibri-social,colibri.social,colibri-social/colibri.social,https://github.com/colibri-social/colibri.social,TypeScript,85,6,8,16849,0,0,157,0,1,1,1,0
TheRealSirHaXalot,AntiHunter-Command-Control-PRO,TheRealSirHaXalot/AntiHunter-Command-Control-PRO,https://github.com/TheRealSirHaXalot/AntiHunter-Command-Control-PRO,TypeScript,143,24,0,42734,0,0,267,0,1,1,1,0
LifeSG,web-frontend-engine,LifeSG/web-frontend-engine,https://github.com/LifeSG/web-frontend-engine,TypeScript,13,10,16,121062,1,0,1414,0,1,0,1,0
databricks,databricks-vscode,databricks/databricks-vscode,https://github.com/databricks/databricks-vscode,TypeScript,181,39,96,38204,1,0,1497,0,1,0,1,0
cabloy,cabloy,cabloy/cabloy,https://github.com/cabloy/cabloy,TypeScript,968,130,0,284136,1,1,3112,0,1,0,1,0
fictjs,fict,fictjs/fict,https://github.com/fictjs/fict,TypeScript,62,2,7,14741,0,0,236,0,1,0,1,1
diegosouzapw,OmniRoute,diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,TypeScript,26531,3478,187,308980,1,1,160,0,1,1,1,1
maka-agent,maka-agent,maka-agent/maka-agent,https://github.com/maka-agent/maka-agent,TypeScript,871,103,115,39141,0,0,56,0,1,0,1,0
gvray,gvray-admin,gvray/gvray-admin,https://github.com/gvray/gvray-admin,TypeScript,11,2,1,1012,1,0,417,0,1,1,0,1
elastic,kibana,elastic/kibana,https://github.com/elastic/kibana,TypeScript,21206,8603,14593,16365834,0,0,4926,0,1,0,1,0
ScottKirvan,BojuBot,ScottKirvan/BojuBot,https://github.com/ScottKirvan/BojuBot,TypeScript,26,6,41,3075,0,1,143,0,1,0,1,1
openclaw,openclaw,openclaw/openclaw,https://github.com/openclaw/openclaw,TypeScript,383907,80650,6940,2115199,0,0,241,0,1,1,1,1
tloncorp,tlon-apps,tloncorp/tlon-apps,https://github.com/tloncorp/tlon-apps,TypeScript,106,50,124,119226,0,0,1570,0,1,0,1,0
software-mansion,react-native-screens,software-mansion/react-native-screens,https://github.com/software-mansion/react-native-screens,TypeScript,3701,676,265,104537,1,1,2911,0,1,0,1,1
supasheet,supasheet,supasheet/supasheet,https://github.com/supasheet/supasheet,TypeScript,19,5,0,14869,1,1,388,0,1,0,0,0
backstage,backstage,backstage/backstage,https://github.com/backstage/backstage,TypeScript,33936,7502,439,6086048,0,1,2371,0,1,0,1,0
Synergy-Shock,country-codes-list,Synergy-Shock/country-codes-list,https://github.com/Synergy-Shock/country-codes-list,TypeScript,114,53,6,335,1,0,2540,0,1,0,1,1
balcsida,pi-provider-litellm,balcsida/pi-provider-litellm,https://github.com/balcsida/pi-provider-litellm,TypeScript,19,17,1,662,0,0,86,0,1,0,1,1
zirkelc,ai-retry,zirkelc/ai-retry,https://github.com/zirkelc/ai-retry,TypeScript,106,6,3,2100,1,0,315,0,1,0,1,1
webdriverio,webdriverio,webdriverio/webdriverio,https://github.com/webdriverio/webdriverio,TypeScript,9805,2667,347,380467,0,0,5440,0,1,0,1,1
chenzhen7,akari,chenzhen7/akari,https://github.com/chenzhen7/akari,TypeScript,81,1,0,1539,0,0,63,0,1,0,1,1
zernio-dev,zernflow,zernio-dev/zernflow,https://github.com/zernio-dev/zernflow,TypeScript,97,39,0,753,1,0,161,0,1,0,0,1
tscircuit,core,tscircuit/core,https://github.com/tscircuit/core,TypeScript,53,152,34,76719,0,0,749,0,1,0,1,1
sanity-io,sanity,sanity-io/sanity,https://github.com/sanity-io/sanity,TypeScript,6231,545,141,210062,0,0,3472,0,1,0,1,0
zernio-dev,latewiz,zernio-dev/latewiz,https://github.com/zernio-dev/latewiz,TypeScript,59,33,0,1242,1,0,174,0,1,1,1,0
gflohr,e-invoice-eu,gflohr/e-invoice-eu,https://github.com/gflohr/e-invoice-eu,TypeScript,202,27,25,27556,1,1,639,0,1,0,1,0
dreamshotrocks,cypress-lens,dreamshotrocks/cypress-lens,https://github.com/dreamshotrocks/cypress-lens,TypeScript,15,3,0,21603,1,0,1059,0,1,0,0,1
esengine,estella,esengine/estella,https://github.com/esengine/estella,TypeScript,310,44,0,77587,0,1,179,0,1,0,1,1
zernio-dev,zernio-node,zernio-dev/zernio-node,https://github.com/zernio-dev/zernio-node,TypeScript,34,7,1,3469,1,0,188,0,1,0,1,1
anomalyco,opencode,anomalyco/opencode,https://github.com/anomalyco/opencode,TypeScript,188919,23855,4828,425397,0,0,448,0,1,0,1,0
mhzrerfani,website,mhzrerfani/website,https://github.com/mhzrerfani/website,TypeScript,12,8,0,3614,1,0,639,0,1,0,0,0
MetaMask,eth-phishing-detect,MetaMask/eth-phishing-detect,https://github.com/MetaMask/eth-phishing-detect,TypeScript,1308,1091,11,42534695,0,1,3276,0,1,0,1,1
solana-foundation,solana-developer-platform,solana-foundation/solana-developer-platform,https://github.com/solana-foundation/solana-developer-platform,TypeScript,43,16,22,27330,1,0,176,0,1,1,1,0
CitizenLabDotCo,citizenlab,CitizenLabDotCo/citizenlab,https://github.com/CitizenLabDotCo/citizenlab,TypeScript,235,38,82,1854948,0,0,1945,0,1,1,1,0
xlnfinance,xln,xlnfinance/xln,https://github.com/xlnfinance/xln,TypeScript,102,22,4,724790,0,1,3121,0,1,0,1,1
cline,cline,cline/cline,https://github.com/cline/cline,TypeScript,64967,6974,1127,420877,1,0,747,0,1,0,1,1
tutti-os,tutti,tutti-os/tutti,https://github.com/tutti-os/tutti,TypeScript,2641,301,131,208207,0,0,41,0,1,0,1,0
podman-desktop,podman-desktop,podman-desktop/podman-desktop,https://github.com/podman-desktop/podman-desktop,TypeScript,7844,531,860,2748151,1,1,1602,0,1,0,1,1
JSONbored,loopover,JSONbored/loopover,https://github.com/JSONbored/loopover,TypeScript,18,85,74,48186,0,0,61,0,1,1,1,1
revolist,vue-datagrid,revolist/vue-datagrid,https://github.com/revolist/vue-datagrid,TypeScript,211,25,0,2608,0,0,2098,0,1,0,1,0
get-chat,web-app,get-chat/web-app,https://github.com/get-chat/web-app,TypeScript,15,11,2,10433,0,0,1939,0,1,0,1,1
XKNX,knx-frontend,XKNX/knx-frontend,https://github.com/XKNX/knx-frontend,TypeScript,67,20,13,3218,0,0,1560,0,1,0,1,1
iTwin,viewer,iTwin/viewer,https://github.com/iTwin/viewer,TypeScript,36,18,23,23092,0,0,1949,0,1,0,1,0
mdelobelle,fileclass,mdelobelle/fileclass,https://github.com/mdelobelle/fileclass,TypeScript,11,0,4,851,1,1,8,0,1,0,1,1
autonomouslogic,eve-ref,autonomouslogic/eve-ref,https://github.com/autonomouslogic/eve-ref,TypeScript,29,2,233,10733,0,0,1255,0,1,0,1,1
Crossmint,crossmint-sdk,Crossmint/crossmint-sdk,https://github.com/Crossmint/crossmint-sdk,TypeScript,50,35,73,38160,1,0,1709,0,1,0,1,0
lightdash,lightdash,lightdash/lightdash,https://github.com/lightdash/lightdash,TypeScript,5980,746,1590,449516,0,0,1952,0,1,1,1,0
morapelker,hive,morapelker/hive,https://github.com/morapelker/hive,TypeScript,455,55,4,52467,0,1,169,0,1,1,1,1
Maintainerr,Maintainerr,Maintainerr/Maintainerr,https://github.com/Maintainerr/Maintainerr,TypeScript,2124,105,9,23961,1,0,1653,0,1,1,1,0
studiometa,js-toolkit,studiometa/js-toolkit,https://github.com/studiometa/js-toolkit,TypeScript,35,5,8,23058,0,0,2347,0,1,0,1,0
llm-exe,llm-exe,llm-exe/llm-exe,https://github.com/llm-exe/llm-exe,TypeScript,133,8,17,5135,1,0,1151,0,1,0,1,1
Playgama,bridge,Playgama/bridge,https://github.com/Playgama/bridge,TypeScript,45,7,3,4000,0,0,659,0,1,0,1,1
web-infra-dev,rstest,web-infra-dev/rstest,https://github.com/web-infra-dev/rstest,TypeScript,476,32,55,11766,0,0,619,0,1,0,1,0
Wing900,PlotKityCat,Wing900/PlotKityCat,https://github.com/Wing900/PlotKityCat,TypeScript,49,8,2,28353,0,0,69,0,1,0,1,0
DarkFlorist,TheInterceptor,DarkFlorist/TheInterceptor,https://github.com/DarkFlorist/TheInterceptor,TypeScript,172,20,85,10283,1,0,1326,0,1,1,1,1
gvray,gvray-react,gvray/gvray-react,https://github.com/gvray/gvray-react,TypeScript,24,4,31,33825,1,0,886,0,1,1,0,0
joist-framework,joist,joist-framework/joist,https://github.com/joist-framework/joist,TypeScript,135,7,7,12216,1,0,2452,0,1,0,1,0
yiming-liao,intor,yiming-liao/intor,https://github.com/yiming-liao/intor,TypeScript,211,0,1,2654,1,0,432,0,1,0,1,0
freemocap,freemocap,freemocap/freemocap,https://github.com/freemocap/freemocap,TypeScript,9671,889,161,291560,0,1,1927,0,1,0,1,0
bennycode,trading-signals,bennycode/trading-signals,https://github.com/bennycode/trading-signals,TypeScript,970,137,29,12407,0,1,2247,0,1,0,1,0
lucavb,homebridge-http-motion-sensor,lucavb/homebridge-http-motion-sensor,https://github.com/lucavb/homebridge-http-motion-sensor,TypeScript,19,4,12,1232,1,0,3422,0,1,0,1,1
